"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"Security: Unsafe Cross-Origin Links","Warning","Low","23","3.290","URLs that link to external websites using the target=""_blank"" attribute (to open in a new tab), without using rel=""noopener"" (or rel=""noreferrer"") at the same time. Using target=""_blank"" alone leaves those pages exposed to both security and performance issues for some legacy browsers, which are estimated to be below 5% of market share. Setting target=""_blank"" on <a> elements implicitly provides the same rel behavior as setting rel=""noopener"" which does not set window.opener for most modern browsers, such as Chrome, Safari, Firefox and Edge.  The external links that contain the target=""_blank"" attribute by itself can be viewed in the 'outlinks' tab and 'target' column. They can be exported alongside the pages they are linked from via 'Bulk Export > Security > Unsafe Cross-Origin Links'.","Consider the benefits of including the rel=""noopener"" link attribute on any links that contain the target=""_blank"" attribute to avoid security and performance issues for the users of legacy browsers that may visit the website.",""
"Page Titles: Over 60 Characters","Opportunity","Medium","30","4.980","Pages which have page titles that exceed the configured limit. Characters over this limit might be truncated in Google's search results and carry less weight in scoring.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",""
"Security: Missing Secure Referrer-Policy Header","Warning","Low","662","94.570","URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them.","Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins.",""
"PageSpeed: Render Blocking Requests","Opportunity","Medium","602","100.000","Pages with resources that are blocking the first paint of the page. Lighthouse flags pages which have scripts that do not have defer or async attributes, and stylesheets without a disabled attribute, or media attribute that matches the device. Bulk export the pages and resources via 'Reports > PageSpeed > Render Blocking Requests'.","Reduce the impact of render-blocking URLs by inlining critical resources, deferring non-critical resources, and removing anything unused.",""
"Response Codes: Internal Redirection (3xx)","Warning","Low","23","0.970","Internal URLs which redirect to another URL. These will include server-side redirects, such as 301 or 302 redirects (and more). View URLs that link to redirects using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Redirection (3xx) inlinks'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",""
"Response Codes: Internal Client Error (4xx)","Issue","High","15","0.630","Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.",""
"H2: Non-Sequential","Warning","Low","60","9.970","Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>.",""
"URL: Uppercase","Warning","Low","590","84.290","URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs.","Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Links: Pages With High Crawl Depth","Opportunity","Medium","305","50.660","Pages that have a high crawl depth from the start page of the crawl based upon the 'Crawl Depth' preferences under 'Config > Spider > Preferences'. Broadly, pages that are linked directly from popular pages, such as the homepage, are passed more PageRank which can help them perform better organically. Pages much deeper in the website can often be passed less PageRank, and subsequently may not perform as well. This is important for key pages that are targeting broader more competitive queries, which may benefit from improved linking and reduced crawl depth. Unimportant pages, pages that target less competitive queries, or pages on large websites will often naturally sit deeper without issue. Most importantly, consider the user, which pages are important for them to navigate to, and their journey to reach the page.","Review pages that are deeper in the website with a high crawl depth. Improve website structure and internal linking to key pages that may benefit where appropriate.",""
"PageSpeed: Minimize Main-Thread Work","Opportunity","Medium","524","87.040","Pages with average or slow execution timing on the main thread. The main thread of the renderer process typically handles most code that allows users to interact with a page. Lighthouse flags pages that keep the main thread busy for longer than 4 seconds during load. Bulk export the pages and details via 'Reports > PageSpeed > Minimize Main-Thread Work'.","Minimize main thread work by analysing the bottlenecks identified and find ways to defer or remove unnecessary work such as optimising resources.",""
"Page Titles: Over 561 Pixels","Opportunity","Medium","40","6.640","Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",""
"Meta Description: Over 985 Pixels","Opportunity","Low","30","4.980","Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"Hreflang: Noindex Return Links","Issue","High","25","4.150","URLs with return links which have a 'noindex' meta tag. All pages within a set should be indexable, and hence any return URLs with 'noindex' may result in the hreflang relationship being ignored. The noindex return links URLs can be seen in the lower window 'URL Details' pane with a 'noindex' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Noindex Return Links' export.","Update hreflang annotations to include indexable URLs only. They should not include links which are 'noindex'.",""
"Links: Internal Nofollow Outlinks","Warning","Low","3","0.500","Pages that use rel=""nofollow"" on internal outlinks. Links with nofollow link attributes will generally not be followed by search engines. Remember that the linked pages may be found through other means, such as other followed links, or XML Sitemaps etc. Nofollow outlinks can be seen in the 'Outlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'False'. Export in bulk via 'Bulk Export > Links > Internal Nofollow Outlinks'.","Review the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank.",""
"PageSpeed: Layout Shift Culprits","Opportunity","Medium","596","99.000","Pages that have layout shifts on DOM elements without any user interaction such as elements being added, removed, or their fonts changing as the page loads. Lighthouse will display elements contributing most to the CLS of the page and include a contribution score of each to help prioritise. Bulk export the pages and details of the layout shifts via 'Reports > PageSpeed > Layout Shift Culprits'.","Avoid sudden layout shifts to improve user-experience. Ensure images, ads, embeds and iframes have dimensions, avoid inserting new content above existing content or reserve space for them and preload key fonts.",""
"H2: Multiple","Warning","Low","411","68.270","Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings.",""
"Structured Data: Validation Errors","Issue","High","340","56.480","URLs that contain structured data validation errors related to Schema.org. Schema.org validation includes checks against whether the types and properties exist against main and pending Schema vocabulary and will show 'errors' for any issues encountered.","Resolve validation errors to ensure pages have valid structured data and are eligible for special search result features in Google. Review the 'Structured Data Details' tab for more information on specific errors and refer to Schema.org specifications where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary' and test in the Schema Markup Validator.",""
"PageSpeed: Use Efficient Cache Lifetimes","Opportunity","Medium","602","100.000","Pages with resources that are not cached. HTTP caching can speed up your page load time on repeat visits. Bulk export the pages and resources via 'Reports > PageSpeed > Use Efficient Cache Lifetimes'.","Cache static resources using HTTP caching. A long cache lifetime can speed up repeat visits to pages.",""
"Content: Low Content Pages","Opportunity","Medium","141","23.420","Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.","Consider including additional descriptive content to help the user and search engines better understand the page.",""
"PageSpeed: Font Display","Opportunity","Low","571","94.850","Pages with fonts that may flash or become invisible during page load, which can be annoying to users and reduce the visual appearance of page load speed.  Bulk export the pages and fonts via 'Reports > PageSpeed > Font Display'.","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading.",""
"Content: Readability Difficult","Opportunity","Low","81","13.460","Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Meta Description: Below 70 Characters","Opportunity","Low","10","1.660","Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Links: Internal Outlinks With No Anchor Text","Opportunity","Low","598","99.340","Pages that have internal links without anchor text or images that are hyperlinked without alt text. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks without anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column is blank, or if an image, the 'Alt Text' column is also blank. Export in bulk via 'Bulk Export > Links > Internal Outlinks With No Anchor Text'.","Review the missing anchor text outlinks and where appropriate include useful and descriptive anchor text to help users and search engines.",""
"H2: Missing","Warning","Low","130","21.590","Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.","Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page.",""
"Structured Data: Rich Result Validation Errors","Issue","High","79","13.120","URLs that contain Google rich result feature validation errors. Google rich result feature validation will show errors for missing required properties or problems with the implementation of required properties. Google's 'required properties' must be included and be valid for content to be eligible for display as a rich result.","Resolve validation errors to ensure pages are eligible for special search result features in Google. Review the 'Structured Data Details' tab for more information on specific errors and refer to Google rich result feature docs where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary' and test in Google's Rich Results tool.",""
"Hreflang: Missing Self Reference","Warning","Low","32","5.320","URLs missing their own self referencing rel=""alternate"" hreflang annotation. It was previously a requirement to have a self-referencing hreflang, but Google has updated their guidelines to say this is optional. It is however good practice and often easier to include a self referencing attribute.","Consider adding a self referencing rel=""alternate"" hreflang annotation as Google still describe this as best practice in their documentation.",""
"PageSpeed: Reduce JavaScript Execution Time","Opportunity","Medium","563","93.520","Pages with average or slow JavaScript execution time (over 2 seconds). When JavaScript takes a long time to execute, it slows down page performance. Bulk export the pages and details via 'Reports > PageSpeed > Reduce JavaScript Execution Time'.","Consider reducing the time spent parsing, compiling and executing JS. Smaller JS payloads may help improve page load speed.",""
"Sitemaps: URLs not in Sitemap","Issue","Medium","10","1.560","URLs that are not in an XML Sitemap, but were discovered in the crawl. This might be on purpose (as they are not important), or they might be missing, and the XML Sitemap needs to be updated to include them. This filter does not consider non-indexable URLs, it assumes they are correctly non-indexable, and therefore shouldn't be flagged to be included.","Consider including important canonical URLs within the XML Sitemap. This does not make up for good site architecture and internal linking, but it can aid discovery for large websites, inform Google when the page was last updated, and aid with monitoring indexing of pages.",""
"Meta Description: Over 155 Characters","Opportunity","Low","29","4.820","Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"Structured Data: Parse Errors","Issue","High","315","52.330","URLs which have structured data that failed to parse correctly. This is often due to incorrect mark-up in the structured data, which might impact search engines' ability to interpret it reliably.","Review and resolve any issues in the structured data markup, so that they can be parsed reliably. Debug parsing errors using the JSON-LD Playground tool or Schema Markup Validator.",""
"H1: Over 70 Characters","Opportunity","Low","48","7.970","Pages which have <h1>s over the configured length. There is no hard limit for characters in an <h1>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h1>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Page Titles: Below 200 Pixels","Opportunity","Medium","40","6.640","Pages which have page titles much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"PageSpeed: LCP Request Discovery","Opportunity","Medium","59","9.800","Pages with a Largest Contentful Paint (LCP) request discovery that can be optimised. LCP request discovery is the process of finding the specific file or resource that's needed to display the main image on a web page. Lighthouse checks to see whether the LCP image is discoverable from the HTML, has fetchpriority=high and is not lazy loaded. Bulk export the pages and validations via 'Reports > PageSpeed > LCP Request Discovery'.","Optimise LCP by making the LCP image discoverable from the HTML immediately, using fetchpriority=high and avoiding lazy-loading.",""
"Security: Missing Content-Security-Policy Header","Warning","Low","645","92.140","URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.","Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.",""
"URL: Underscores","Opportunity","Low","2","0.290","URLs with underscores, which are not always seen as word separators by search engines.","Ideally hyphens should be used as word separators, rather than underscores. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"URL: Over 115 Characters","Opportunity","Low","2","0.290","URLs that are more than the configured length. This is generally not an issue, however research has shown that users prefer shorter, concise URL strings.","Where possible use logical and concise URLs for users and search engines. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Images: Alt Text Over 100 Characters","Opportunity","Low","11","0.850","Images which have one instance of alt text over a threshold of characters in length. This is not strictly an issue, however image alt text should be concise and descriptive. It should not be used to stuff lots of keywords or paragraphs of text onto a page.","Write concise alt text that's helpful for users and search engines - without keyword stuffing.",""
"Meta Description: Below 400 Pixels","Opportunity","Low","9","1.500","Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"H2: Duplicate","Opportunity","Low","107","17.770","Pages which have duplicate <h2>s. It's important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Security: Missing X-Content-Type-Options Header","Warning","Low","662","94.570","URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.",""
"Links: Pages With High External Outlinks","Warning","Low","193","32.060","Pages that have a high number of followed external outlinks on them based upon the 'High External Outlinks' preferences under 'Config > Spider > Preferences'. External outlinks are hyperlinks to another subdomain or domain (depending on your configuration). This might be completely valid, such as linking to another part of the same root domain, or linking to other useful websites. External followed outlinks can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks' where the 'Follow' column is 'True'.","Review followed external outlinks to ensure they are to credible, trusted and relevant websites that are useful to your users.",""
"H1: Duplicate","Opportunity","Low","104","17.280","Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Images: Missing Size Attributes","Opportunity","Low","1049","80.630","Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).","Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.",""
"H2: Over 70 Characters","Opportunity","Low","46","7.640","Pages which have <h2>s over the configured limit. There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h2>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Directives: Noindex","Warning","High","25","3.780","URLs containing a 'noindex' directive in either a robots meta tag or X-Robots-Tag in the HTTP header. This instructs the search engines not to index the page. The page will still be crawled (to see the directive), but it will then be dropped from the index.","URLs with a 'noindex' should be reviewed carefully to ensure they are correct and shouldn't be indexed. If these pages should be indexed, then the 'noindex' directive should be removed.",""
"PageSpeed: Optimize DOM Size","Opportunity","Low","503","83.550","Pages with a large DOM size with a large layout or style recalculation exceeding a duration of 40ms. A large DOM can increase the duration of style calculations and layouts, impacting page responsiveness. A large DOM also increases memory usage. Bulk export the pages and DOM size details such as Total DOM elements, DOM depth and child elements via 'Reports > PageSpeed > Optimize DOM Size'.","Optimise the DOM size by looking for ways to create DOM nodes only when needed, and destroy nodes when they're no longer needed.",""
"URL: Contains Space","Issue","Low","2","0.290","URLs that contain a space. These are considered unsafe and could cause the link to be broken when sharing the URL. Hyphens should be used as word separators instead of spaces.","Ideally hyphens should be used as word separators, rather than spaces. However, changing URLs is a big decision. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Hreflang: Missing X-Default","Warning","Low","383","63.620","URLs missing an x-default hreflang attribute. This is optional, and not necessarily an issue.","Consider adding a fallback page for unmatched languages, especially on language/country selectors or auto-redirecting homepages.",""
"Hreflang: Non-200 hreflang URLs","Issue","High","18","2.990","URLs contained within rel=""alternate"" hreflang annotations that do not have a 200 response code, such as URLs blocked by robots.txt, no responses, 3XX (redirects), 4XX (client errors) or 5XX (server errors). Hreflang URLs must be crawlable and indexable and therefore non-200 URLs are treated as errors, and ignored by the search engines. The non-200 hreflang URLs can be seen in the lower window 'URL Details' pane with a 'non-200' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Non-200 Hreflang URLs' export.","Ensure URLs within hreflang annotations are to the correct canonical and indexable pages. If Google can't see pages pointing to each other due to a non-200 response, the tags will be ignored.",""
"PageSpeed: Improve Image Delivery","Opportunity","Medium","123","20.430","Pages where the download time of images can be reduced, improving the perceived load time of the page and Largest Contentful Paint (LCP). Bulk export the pages and images via 'Reports > PageSpeed > Improve Image Delivery'.","Optimise images using compression to reduce file size and so that the page loads faster. Use responsive images to reduce the image download size. Consider encoding JPEG and PNG images into new formats such as WebP which allow for greater compression to enable them to load faster and consume less data. Consider using MPEG4/WebM videos for animations and PNG/WebP for static images instead of GIF to save network bytes.",""
"H1: Missing","Issue","Medium","42","6.980","Pages which have a missing <h1>, the content is empty or has a whitespace. The <h1> should describe the main title and purpose of the page and are considered to be one of the stronger on-page ranking signals.","Ensure important pages have concise, descriptive and unique headings to help users, and enable search engines to score and rank the page for relevant search queries.",""
"Response Codes: External Client Error (4xx)","Warning","Low","88","3.710","External URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > External > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as 404 broken links should be updated so users are taken to the correct URL, or removed. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent'. If they can be viewed in a browser, then it's often not an issue.",""
"Canonicals: Non-Indexable Canonical","Issue","High","2","0.330","Pages with a canonical URL that is non-indexable. This will include canonicals which are blocked by robots.txt, no response, redirect (3XX), client error (4XX), server error (5XX), are 'noindex' or 'canonicalised' themselves. This means the search engines are being instructed to consolidate indexing and link signals to a non-indexable page, which often leads to them ignoring the canonical, but may also lead to unpredictability in indexing and ranking. Export pages, their canonicals and status codes via 'Reports > Canonicals > Non-Indexable Canonicals'.","Ensure canonical URLs are to accurate indexable pages to avoid them being ignored by search engines, and any potential indexing or ranking unpredictability.",""
"Sitemaps: Non-Indexable URLs in Sitemap","Issue","Medium","24","3.740","URLs that are in an XML Sitemap, but are non-indexable, and hence should be removed, or their indexability needs to be fixed.","XML Sitemaps should only include indexable pages. Remove non-indexable URLs from the XML Sitemap or update to the correct canonical versions.",""
"Structured Data: Rich Result Validation Warnings","Opportunity","Low","340","56.480","URLs that contain Google rich result feature validation warnings. These will always be for 'recommended properties', rather than required properties. Recommended properties can be included to add more information about content which could provide a better user experience, but they do not disqualify you from being eligible for rich snippets.","Consider warnings as 'opportunities' to improve the data provided to search engines and users to potentially enhance special search result features in Google. Review the 'Structured Data Details' tab for more information on specific warnings and refer to Google rich result feature docs where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary'.",""
"PageSpeed: Avoid Enormous Network Payloads","Opportunity","Medium","11","1.830","Pages with large network payloads that can reduce page speed. Large network payloads cost users real money and are highly correlated with long load times. Bulk export the pages and resources via 'Reports > PageSpeed > Avoid Enormous Network Payloads'.","Aim to keep your total byte size below 1,600 KiB. Defer requests until they're needed, optimise requests to be as small as possible, and cache requests.",""
"PageSpeed: Forced Reflow","Opportunity","Medium","311","51.660","Pages with a forced reflow which can result in slowing down rendering and user interactions. A forced reflow (also known as forced synchronous layouts) occur when JavaScript queries geometric properties (such as offsetWidth) after styles have been invalidated by a change to the DOM state. Bulk export the pages and resources via 'Reports > PageSpeed > Forced Reflow'.","Batch style reads and do them first (where the browser can use the previous frame's layout values) and then perform any writes. Developers can minimize reflow by reducing DOM depth, optimising CSS rules, using absolute or fixed positioning for complex rendering changes, and avoiding complex CSS selectors.",""
"PageSpeed: Reduce Unused JavaScript","Opportunity","Medium","325","53.990","Pages with unused JavaScript that are larger than necessary in bytes and reducing page speed. Bulk export the pages and JavaScript via 'Reports > PageSpeed > Reduce Unused JavaScript'.","Remove unused JavaScript code to reduce unnecessary bytes consumed by network activity to improve page load performance.",""
