"Site Crawled","https://almapay.com/"
"Start Date","2026-05-13"
"Start Time","11:27:32"
"Last Modified Date","2026-05-13"
"Last Modified Time","11:58:26"
"Elapsed","00:30:50"
"Report Date","2026-05-13"
"Report Time","11:58:27"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"HTTP URLs","0","0.00%","700","All internal and non-HTML external URLs"
"HTTPS URLs","700","100.00%","700","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","700","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","700","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","700","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","23","3.29%","700","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","700","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","700","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","645","92.14%","700","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","662","94.57%","700","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","662","94.57%","700","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","662","94.57%","700","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","700","All internal and non-HTML external URLs"
""
"Response Codes"
"All","2370","100.00%","2370","All Internal & External Crawled URLs"
"Blocked by Robots.txt","13","0.55%","2370","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","2370","All Internal & External Crawled URLs"
"No Response","11","0.46%","2370","All Internal & External Crawled URLs"
"Success (2xx)","2139","90.25%","2370","All Internal & External Crawled URLs"
"Redirection (3xx)","96","4.05%","2370","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","2370","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","2370","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","2370","All Internal & External Crawled URLs"
"Client Error (4xx)","108","4.56%","2370","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","2370","All Internal & External Crawled URLs"
"Internal All","700","29.54%","2370","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","2370","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","2370","All Internal Crawled URLs"
"Internal No Response","0","0.00%","2370","All Internal Crawled URLs"
"Internal Success (2xx)","662","27.93%","2370","All Internal Crawled URLs"
"Internal Redirection (3xx)","23","0.97%","2370","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","2370","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","2370","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","2370","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","2370","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","2370","All Internal Crawled URLs"
"Internal Client Error (4xx)","15","0.63%","2370","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","2370","All Internal Crawled URLs"
"External All","1670","70.46%","2370","All External Crawled URLs"
"External Blocked by Robots.txt","13","0.55%","2370","All External Crawled URLs"
"External Blocked Resource","0","0.00%","2370","All External Crawled URLs"
"External No Response","11","0.46%","2370","All External Crawled URLs"
"External Success (2xx)","1477","62.32%","2370","All External Crawled URLs"
"External Redirection (3xx)","73","3.08%","2370","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","2370","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","2370","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","2370","All External Crawled URLs"
"External Client Error (4xx)","93","3.92%","2370","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","2370","All External Crawled URLs"
""
"URL"
"All","700","100.00%","700","Internal URLs"
"Non ASCII Characters","0","0.00%","700","Internal URLs"
"Underscores","2","0.29%","700","Internal URLs"
"Uppercase","590","84.29%","700","Internal URLs"
"Multiple Slashes","0","0.00%","700","Internal URLs"
"Repetitive Path","0","0.00%","700","Internal URLs"
"Contains Space","2","0.29%","700","Internal URLs"
"Internal Search","0","0.00%","700","Internal URLs"
"Parameters","5","0.71%","700","Internal URLs"
"Broken Bookmark","0","0.00%","700","Internal URLs"
"GA Tracking Parameters","2","0.29%","700","Internal URLs"
"Over 115 Characters","2","0.29%","700","Internal URLs"
""
"Page Titles"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","0","0.00%","602","Internal HTML pages with 2xx response"
"Duplicate","127","21.10%","602","Internal HTML pages with 2xx response"
"Over 60 Characters","30","4.98%","602","Internal HTML pages with 2xx response"
"Below 30 Characters","96","15.95%","602","Internal HTML pages with 2xx response"
"Over 561 Pixels","40","6.64%","602","Internal HTML pages with 2xx response"
"Below 200 Pixels","40","6.64%","602","Internal HTML pages with 2xx response"
"Same as H1","64","10.63%","602","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","602","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","0","0.00%","602","Internal HTML pages with 2xx response"
"Duplicate","244","40.53%","602","Internal HTML pages with 2xx response"
"Over 155 Characters","29","4.82%","602","Internal HTML pages with 2xx response"
"Below 70 Characters","10","1.66%","602","Internal HTML pages with 2xx response"
"Over 985 Pixels","30","4.98%","602","Internal HTML pages with 2xx response"
"Below 400 Pixels","9","1.50%","602","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","602","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","575","95.51%","602","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","602","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","602","Internal HTML pages with 2xx response"
""
"H1"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","42","6.98%","602","Internal HTML pages with 2xx response"
"Duplicate","104","17.28%","602","Internal HTML pages with 2xx response"
"Over 70 Characters","48","7.97%","602","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","602","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","602","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","602","Internal HTML pages with 2xx response"
""
"H2"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","130","21.59%","602","Internal HTML pages with 2xx response"
"Duplicate","107","17.77%","602","Internal HTML pages with 2xx response"
"Over 70 Characters","46","7.64%","602","Internal HTML pages with 2xx response"
"Multiple","411","68.27%","602","Internal HTML pages with 2xx response"
"Non-Sequential","60","9.97%","602","Internal HTML pages with 2xx response"
""
"Content"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","602","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","602","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","602","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","602","Internal HTML pages with 2xx response"
"Low Content Pages","141","23.42%","602","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","602","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","602","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","602","Internal HTML pages with 2xx response"
"Readability Difficult","81","13.46%","602","Internal HTML pages with 2xx response"
"Readability Very Difficult","44","7.31%","602","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Images"
"All","1301","100.00%","1301","Images with 2xx response"
"Over 100 KB","461","35.43%","1301","Images with 2xx response"
"Missing Alt Text","21","1.61%","1301","Images with 2xx response"
"Missing Alt Attribute","44","3.38%","1301","Images with 2xx response"
"Alt Text Over 100 Characters","11","0.85%","1301","Images with 2xx response"
"Background Images","0","0.00%","1301","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","1301","Images with 2xx response"
"Missing Size Attributes","1049","80.63%","1301","Images with 2xx response"
""
"Canonicals"
"All","602","100.00%","602","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","602","100.00%","602","Internal HTML or PDF pages with 2xx response"
"Self Referencing","598","99.34%","602","Internal HTML or PDF pages with 2xx response"
"Canonicalised","4","0.66%","602","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","2","0.33%","602","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","602","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","602","Internal HTML pages with 2xx response"
"First Page","0","0.00%","602","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","602","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","602","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","602","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","602","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Directives"
"All","662","100.00%","662","Internal URLs with 2xx response"
"Index","0","0.00%","662","Internal URLs with 2xx response"
"Noindex","25","3.78%","662","Internal URLs with 2xx response"
"Follow","0","0.00%","662","Internal URLs with 2xx response"
"Nofollow","0","0.00%","662","Internal URLs with 2xx response"
"None","0","0.00%","662","Internal URLs with 2xx response"
"NoArchive","0","0.00%","662","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","662","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","662","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","662","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","662","Internal URLs with 2xx response"
"NoODP","0","0.00%","662","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","662","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","662","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","662","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","662","Internal URLs with 2xx response"
"Refresh","0","0.00%","640","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","662","Internal URLs with 2xx response"
""
"Hreflang"
"All","602","100.00%","602","Internal pages with 2xx response"
"Contains hreflang","589","97.84%","602","Internal pages with 2xx response"
"Non-200 hreflang URLs","18","2.99%","602","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","602","Internal pages with 2xx response"
"Missing Return Links","32","5.32%","602","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","602","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","602","Internal pages with 2xx response"
"Noindex Return Links","25","4.15%","602","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","602","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","602","Internal pages with 2xx response"
"Missing Self Reference","32","5.32%","602","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","602","Internal pages with 2xx response"
"Missing X-Default","383","63.62%","602","Internal pages with 2xx response"
"Missing","13","2.16%","602","Internal pages with 2xx response"
"Outside <head>","0","0.00%","602","Internal pages with 2xx response"
""
"JavaScript"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","602","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","602","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","602","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","602","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","602","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","602","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","602","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","602","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","602","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","602","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","602","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","602","Internal HTML pages with 2xx response"
""
"Links"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","305","50.66%","602","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","602","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","3","0.50%","602","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","598","99.34%","602","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","4","0.66%","602","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","193","32.06%","602","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","602","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","1","0.17%","602","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","602","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","602","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","602","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","640","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","640","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
"Contains Structured Data","602","100.00%","602","Internal HTML pages with 2xx response"
"Missing","0","0.00%","602","Internal HTML pages with 2xx response"
"Validation Errors","340","56.48%","602","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","602","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","79","13.12%","602","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","340","56.48%","602","Internal HTML pages with 2xx response"
"Parse Errors","315","52.33%","602","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"JSON-LD URLs","602","100.00%","602","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","602","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","360","59.80%","602","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","642","100.00%","642","Internal HTML/XML pages"
"URLs in Sitemap","590","91.90%","642","Internal HTML/XML pages"
"URLs not in Sitemap","10","1.56%","642","Internal HTML/XML pages"
"Orphan URLs","81","12.62%","642","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","24","3.74%","642","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","642","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","642","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","642","Internal HTML/XML pages"
""
"PageSpeed"
"All","602","100.00%","602","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","602","Internal HTML URLs with 2xx response"
"LCP Request Discovery","59","9.80%","602","Internal HTML URLs with 2xx response"
"Render Blocking Requests","602","100.00%","602","Internal HTML URLs with 2xx response"
"Network Dependency Tree","696","100.00%","602","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","602","100.00%","602","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","591","98.17%","602","Internal HTML URLs with 2xx response"
"Optimize DOM Size","498","82.72%","602","Internal HTML URLs with 2xx response"
"Improve Image Delivery","126","20.93%","602","Internal HTML URLs with 2xx response"
"Forced Reflow","295","49.00%","602","Internal HTML URLs with 2xx response"
"Legacy JavaScript","602","100.00%","602","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","602","Internal HTML URLs with 2xx response"
"Font Display","571","94.85%","602","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","13","2.16%","602","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","602","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","602","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","492","81.73%","602","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","323","53.65%","602","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","568","94.35%","602","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","526","87.38%","602","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","602","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","602","100.00%","602",""
"Viewport Not Set","0","0.00%","602",""
"Target Size","0","0.00%","602",""
"Content Not Sized Correctly","0","0.00%","602",""
"Illegible Font Size","0","0.00%","602",""
"Contains Unsupported Plugins","0","0.00%","602",""
"Mobile Alternate Link","0","0.00%","602",""
""
"Accessibility"
"All","602","100.00%","602",""
"Accessibility Score Poor","0","0.00%","602",""
"Accessibility Score Needs Improvement","0","0.00%","602",""
"Accessibility Score Good","0","0.00%","602",""
"WCAG 2.0 A Violation","0","0.00%","602",""
"WCAG 2.0 AA Violation","0","0.00%","602",""
"WCAG 2.0 AAA Violation","0","0.00%","602",""
"WCAG 2.1 AA Violation","0","0.00%","602",""
"WCAG 2.2 AA Violation","0","0.00%","602",""
"Best Practice Violation","0","0.00%","602",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","602",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","602",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","602",""
"Scrollable Region Requires Keyboard Access","0","0.00%","602",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","602",""
"Required ARIA Attributes Must Be Provided","0","0.00%","602",""
"Role=text Should Have No Focusable Descendants","0","0.00%","602",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","602",""
"ARIA Attributes Require Valid Values","0","0.00%","602",""
"ARIA Attributes Require Valid Names","0","0.00%","602",""
"ARIA Commands Require Accessible Name","0","0.00%","602",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","602",""
"ARIA Input Fields Require Accessible Name","0","0.00%","602",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","602",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","602",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","602",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","602",""
"ARIA Roles Require Valid Values","0","0.00%","602",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","602",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","602",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","602",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","602",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","602",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","602",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","602",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","602",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","602",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","602",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","602",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","602",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","602",""
"Page Requires One Main Landmark","0","0.00%","602",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","602",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","602",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","602",""
"Page Requires At Most One Main Landmark","0","0.00%","602",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","602",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","602",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","602",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","602",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","602",""
"Form <input> Elements Require Labels","0","0.00%","602",""
"Form Elements Should Have Visible Label","0","0.00%","602",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","602",""
"Frames Require Title Attribute","0","0.00%","602",""
"Frames Require Unique Title Attribute","0","0.00%","602",""
"Frames Should Be Tested With axe-core","0","0.00%","602",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","602",""
"Page Must Contain <title>","0","0.00%","602",""
"Page Must Contain <h1>","0","0.00%","602",""
"Heading Levels Should Only Increase By One","0","0.00%","602",""
"Headings Should Not Be Empty","0","0.00%","602",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","602",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","602",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","602",""
"HTML Element Requires Lang Attribute","0","0.00%","602",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","602",""
"Lang Attribute Requires Valid Value","0","0.00%","602",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","602",""
"Timed Meta Refresh Must Not Exist","0","0.00%","602",""
"Image Button Requires Alternate Text","0","0.00%","602",""
"Images Require Alternate Text","0","0.00%","602",""
"<object> Elements Require Alternate Text","0","0.00%","602",""
"Active <area> Elements Require Alternate Text","0","0.00%","602",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","602",""
"Elements Marked role=img Require Alternate Text","0","0.00%","602",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","602",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","602",""
"<video> Elements Require <track> For Captions","0","0.00%","602",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","602",""
"Buttons Require Discernible Text","0","0.00%","602",""
"Input Buttons Require Discernible Text","0","0.00%","602",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","602",""
"Links Must Be Distinguishable","0","0.00%","602",""
"Links Require Discernible Text","0","0.00%","602",""
"Links With Same Accessible Name","0","0.00%","602",""
"Select Element Requires Accessible Name","0","0.00%","602",""
"Summary Elements Require Discernible Text","0","0.00%","602",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","602",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","602",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","602",""
"Text Requires Higher Color Contrast to Background","0","0.00%","602",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","602",""
"Interactive Controls Must Not Be Nested","0","0.00%","602",""
"List Items Must Be Contained In List Elements","0","0.00%","602",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","602",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","602",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","602",""
"<th> Element Requires Associated Data Cells","0","0.00%","602",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","602",""
"Table Headers Require Discernible Text","0","0.00%","602",""
"Table With Identical Summary & Caption Text","0","0.00%","602",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","602",""
""
"Custom Search"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","602","100.00%","602","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","662","100.00%","662","Internal HTML pages with 2xx response"
""
"Analytics"
"All","640","100.00%","640","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","640","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","640","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","640","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","640","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","640","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","640","100.00%","640","Internal URLs with associated Google Search Console data"
