"Site Crawled","http://spilou.com/"
"Start Date","2026-04-12"
"Start Time","21:44:37"
"Last Modified Date","2026-04-12"
"Last Modified Time","21:44:52"
"Elapsed","00:00:15"
"Report Date","2026-04-12"
"Report Time","21:44:52"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Soft 404 Pages","0","0.00%","44","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Readability Difficult","0","0.00%","44","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","44","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Images"
"All","38","100.00%","38","Images with 2xx response"
"Over 100 KB","0","0.00%","38","Images with 2xx response"
"Missing Alt Text","0","0.00%","38","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","38","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","38","Images with 2xx response"
"Background Images","0","0.00%","38","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","38","Images with 2xx response"
"Missing Size Attributes","37","97.37%","38","Images with 2xx response"
""
"Canonicals"
"All","44","100.00%","44","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","44","100.00%","44","Internal HTML or PDF pages with 2xx response"
"Self Referencing","44","100.00%","44","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","44","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","44","Internal HTML pages with 2xx response"
"First Page","0","0.00%","44","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","44","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","44","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","44","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","44","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Directives"
"All","86","100.00%","86","Internal URLs with 2xx response"
"Index","0","0.00%","86","Internal URLs with 2xx response"
"Noindex","0","0.00%","86","Internal URLs with 2xx response"
"Follow","0","0.00%","86","Internal URLs with 2xx response"
"Nofollow","0","0.00%","86","Internal URLs with 2xx response"
"None","0","0.00%","86","Internal URLs with 2xx response"
"NoArchive","0","0.00%","86","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","86","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","86","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","86","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","86","Internal URLs with 2xx response"
"NoODP","0","0.00%","86","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","86","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","86","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","86","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","86","Internal URLs with 2xx response"
"Refresh","0","0.00%","87","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","86","Internal URLs with 2xx response"
""
"Hreflang"
"All","44","100.00%","44","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","44","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","44","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","44","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","44","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","44","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","44","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","44","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","44","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","44","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","44","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","44","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","44","Internal pages with 2xx response"
"Missing","0","0.00%","44","Internal pages with 2xx response"
"Outside <head>","0","0.00%","44","Internal pages with 2xx response"
""
"JavaScript"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","44","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","44","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","44","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","44","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","44","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","44","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","44","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","44","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Links"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","44","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","44","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","1","2.27%","44","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","0","0.00%","44","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","44","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","44","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","44","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","44","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","44","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","87","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","87","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","44","Internal HTML pages with 2xx response"
"Missing","0","0.00%","44","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","44","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","44","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","44","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","44","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","88","100.00%","88","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","88","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","88","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","88","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","88","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","88","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","88","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","88","Internal HTML/XML pages"
""
"PageSpeed"
"All","44","100.00%","44","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","44","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","44","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","44","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","44","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","44","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","44","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","44","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","44","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","44","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","44","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","44","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","44","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","44","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","44","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","44","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","44","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","44","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","44","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","44","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","44","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","44","100.00%","44",""
"Viewport Not Set","0","0.00%","44",""
"Target Size","0","0.00%","44",""
"Content Not Sized Correctly","0","0.00%","44",""
"Illegible Font Size","0","0.00%","44",""
"Contains Unsupported Plugins","0","0.00%","44",""
"Mobile Alternate Link","0","0.00%","44",""
""
"Accessibility"
"All","44","100.00%","44",""
"Accessibility Score Poor","0","0.00%","44",""
"Accessibility Score Needs Improvement","0","0.00%","44",""
"Accessibility Score Good","0","0.00%","44",""
"WCAG 2.0 A Violation","0","0.00%","44",""
"WCAG 2.0 AA Violation","0","0.00%","44",""
"WCAG 2.0 AAA Violation","0","0.00%","44",""
"WCAG 2.1 AA Violation","0","0.00%","44",""
"WCAG 2.2 AA Violation","0","0.00%","44",""
"Best Practice Violation","0","0.00%","44",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","44",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","44",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","44",""
"Scrollable Region Requires Keyboard Access","0","0.00%","44",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","44",""
"Required ARIA Attributes Must Be Provided","0","0.00%","44",""
"Role=text Should Have No Focusable Descendants","0","0.00%","44",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","44",""
"ARIA Attributes Require Valid Values","0","0.00%","44",""
"ARIA Attributes Require Valid Names","0","0.00%","44",""
"ARIA Commands Require Accessible Name","0","0.00%","44",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","44",""
"ARIA Input Fields Require Accessible Name","0","0.00%","44",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","44",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","44",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","44",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","44",""
"ARIA Roles Require Valid Values","0","0.00%","44",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","44",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","44",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","44",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","44",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","44",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","44",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","44",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","44",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","44",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","44",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","44",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","44",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","44",""
"Page Requires One Main Landmark","0","0.00%","44",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","44",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","44",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","44",""
"Page Requires At Most One Main Landmark","0","0.00%","44",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","44",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","44",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","44",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","44",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","44",""
"Form <input> Elements Require Labels","0","0.00%","44",""
"Form Elements Should Have Visible Label","0","0.00%","44",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","44",""
"Frames Require Title Attribute","0","0.00%","44",""
"Frames Require Unique Title Attribute","0","0.00%","44",""
"Frames Should Be Tested With axe-core","0","0.00%","44",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","44",""
"Page Must Contain <title>","0","0.00%","44",""
"Page Must Contain <h1>","0","0.00%","44",""
"Heading Levels Should Only Increase By One","0","0.00%","44",""
"Headings Should Not Be Empty","0","0.00%","44",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","44",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","44",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","44",""
"HTML Element Requires Lang Attribute","0","0.00%","44",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","44",""
"Lang Attribute Requires Valid Value","0","0.00%","44",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","44",""
"Timed Meta Refresh Must Not Exist","0","0.00%","44",""
"Image Button Requires Alternate Text","0","0.00%","44",""
"Images Require Alternate Text","0","0.00%","44",""
"<object> Elements Require Alternate Text","0","0.00%","44",""
"Active <area> Elements Require Alternate Text","0","0.00%","44",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","44",""
"Elements Marked role=img Require Alternate Text","0","0.00%","44",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","44",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","44",""
"<video> Elements Require <track> For Captions","0","0.00%","44",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","44",""
"Buttons Require Discernible Text","0","0.00%","44",""
"Input Buttons Require Discernible Text","0","0.00%","44",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","44",""
"Links Must Be Distinguishable","0","0.00%","44",""
"Links Require Discernible Text","0","0.00%","44",""
"Links With Same Accessible Name","0","0.00%","44",""
"Select Element Requires Accessible Name","0","0.00%","44",""
"Summary Elements Require Discernible Text","0","0.00%","44",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","44",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","44",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","44",""
"Text Requires Higher Color Contrast to Background","0","0.00%","44",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","44",""
"Interactive Controls Must Not Be Nested","0","0.00%","44",""
"List Items Must Be Contained In List Elements","0","0.00%","44",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","44",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","44",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","44",""
"<th> Element Requires Associated Data Cells","0","0.00%","44",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","44",""
"Table Headers Require Discernible Text","0","0.00%","44",""
"Table With Identical Summary & Caption Text","0","0.00%","44",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","44",""
""
"Custom Search"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","86","100.00%","86","Internal HTML pages with 2xx response"
""
"Analytics"
"All","88","100.00%","88","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","88","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","88","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","88","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","88","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","88","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","88","100.00%","88","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","88","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","88","Internal URLs with associated Google Search Console data"
